alpha, beta, delta, gamma 
0.117217, 0.0102019, 0.00935462, 0.0875203
0.114075, 0.0113433, 0.00888642, 0.0974374
0.115571, 0.0105997, 0.0100238, 0.0950185
0.100502, 0.0118414, 0.0102058, 0.110806
0.120072, 0.0139778, 0.0117675, 0.121878
0.106769, 0.0111347, 0.0105255, 0.106664
0.108853, 0.0106621, 0.0113719, 0.0943917
0.116337, 0.0118992, 0.0114906, 0.109273
0.112864, 0.00900333, 0.0118755, 0.0952002
0.0895457, 0.0126295, 0.0136053, 0.113698
0.12281, 0.0112572, 0.0145267, 0.146874
0.136792, 0.0131003, 0.0138268, 0.141768
0.125147, 0.0119303, 0.015115, 0.119827
0.130058, 0.0119078, 0.0148352, 0.139292
0.135247, 0.014606, 0.0134544, 0.134302
0.130434, 0.01561, 0.0124147, 0.142156
0.119129, 0.017692, 0.013642, 0.153953
0.140249, 0.0180535, 0.0143351, 0.133371
0.170015, 0.0151972, 0.0164603, 0.148104
0.13039, 0.0156306, 0.0132919, 0.136869
0.11698, 0.0168822, 0.0143319, 0.115078
0.132552, 0.0167026, 0.0148179, 0.160492
0.139858, 0.0156906, 0.0165016, 0.156304
0.144811, 0.0153043, 0.0188003, 0.162087
0.15377, 0.0172607, 0.0167881, 0.178471
0.122909, 0.0141392, 0.018834, 0.196264
0.125817, 0.0132573, 0.0197233, 0.17809
0.123577, 0.0153558, 0.0166749, 0.185467
0.112197, 0.0156429, 0.0169585, 0.19227
0.115125, 0.012859, 0.0173302, 0.170367
0.11149, 0.0124907, 0.0179667, 0.173177
0.0887905, 0.00908626, 0.0176715, 0.182763
0.0691316, 0.0111453, 0.01805, 0.152303
0.0778758, 0.0109945, 0.0143327, 0.161996
0.0995405, 0.0114543, 0.0137892, 0.159234
0.107134, 0.0104514, 0.015397, 0.138091
0.0812658, 0.0113612, 0.0160459, 0.146816
0.0812637, 0.0113941, 0.0145926, 0.125723
0.107067, 0.0115938, 0.0141356, 0.130139
0.102125, 0.0113408, 0.0120402, 0.118982
0.117248, 0.0124492, 0.011808, 0.103399
0.106558, 0.0125509, 0.00951012, 0.128641
0.0946282, 0.0106887, 0.012267, 0.112287
0.092065, 0.00972728, 0.0124256, 0.14992
0.0902172, 0.0116995, 0.0107258, 0.117361
0.0947504, 0.0113259, 0.0143063, 0.128331
0.0965205, 0.0109063, 0.0133228, 0.141822
0.109212, 0.0140517, 0.0158767, 0.126026
0.092732, 0.0129548, 0.0173013, 0.177134
0.0766879, 0.0115812, 0.0183917, 0.16051
0.102697, 0.0089017, 0.0210236, 0.182157
0.0863616, 0.0108271, 0.0159428, 0.158063
0.0831062, 0.00896537, 0.015564, 0.154945
0.0886233, 0.00935108, 0.0159561, 0.166696
0.0678889, 0.0116755, 0.0140088, 0.169641
0.0885949, 0.0105318, 0.0140767, 0.150836
0.11546, 0.0114227, 0.0142144, 0.137614
0.108093, 0.0128602, 0.0130037, 0.109554
0.106754, 0.0149079, 0.0115696, 0.134538
0.152132, 0.0141, 0.0117797, 0.116635
0.156425, 0.0157393, 0.00892306, 0.146092
0.110125, 0.0154563, 0.00930573, 0.0974319
0.103468, 0.0110603, 0.00786899, 0.0754404
0.104746, 0.0108264, 0.00921831, 0.0979732
0.119252, 0.0121191, 0.00855306, 0.0974587
0.106688, 0.0132499, 0.0105355, 0.0752862
0.126403, 0.0131287, 0.00821987, 0.0702221
0.132948, 0.015854, 0.00802732, 0.081194
0.144902, 0.0172232, 0.00838028, 0.0736505
0.204587, 0.0201131, 0.00753852, 0.0607579
0.17916, 0.0180027, 0.00790318, 0.0547546
0.16904, 0.0163772, 0.00792866, 0.0578373
0.137028, 0.0167685, 0.0060694, 0.0645817
0.115228, 0.0171645, 0.00767306, 0.071385
0.123395, 0.0158064, 0.00841553, 0.0702614
0.129263, 0.0170893, 0.00981905, 0.0896406
0.151303, 0.0184508, 0.0097098, 0.0811498
0.155785, 0.0163888, 0.0102923, 0.0808523
0.159422, 0.0185697, 0.00893284, 0.111644
0.148442, 0.0174623, 0.00857842, 0.112303
0.175175, 0.0155162, 0.0115264, 0.0903539
0.135981, 0.0179257, 0.0106802, 0.102712
0.139898, 0.019566, 0.0112678, 0.0936643
0.142621, 0.0198594, 0.0122784, 0.10478
0.152217, 0.0186867, 0.0127585, 0.112735
0.143538, 0.0165983, 0.0128972, 0.116119
0.136595, 0.0183376, 0.0154342, 0.129279
0.133659, 0.0151397, 0.0122362, 0.135443
0.131259, 0.0159577, 0.0129072, 0.0982432
0.140185, 0.0169989, 0.0135714, 0.105349
0.154805, 0.0171981, 0.0141147, 0.128478
0.115143, 0.016094, 0.0127534, 0.127772
0.136471, 0.0128022, 0.0108677, 0.130313
0.113931, 0.0131379, 0.0162487, 0.124895
0.099298, 0.0127089, 0.0153439, 0.128301
0.104447, 0.0128348, 0.0145705, 0.118797
0.100352, 0.010763, 0.0134973, 0.125901
0.10091, 0.0105516, 0.0101965, 0.123286
0.110655, 0.0122784, 0.0110961, 0.100976
0.132627, 0.0136991, 0.0124226, 0.104517
0.127946, 0.0141336, 0.0149293, 0.116358
0.115039, 0.0145475, 0.0115347, 0.121156
0.0937998, 0.0132131, 0.0127478, 0.12657
0.119644, 0.0137089, 0.0125187, 0.120495
0.137001, 0.0127872, 0.0109689, 0.115419
0.0981095, 0.0136203, 0.0109224, 0.105174
0.111585, 0.0116354, 0.0118291, 0.124925
0.121757, 0.00990846, 0.016191, 0.13643
0.0910971, 0.00991412, 0.0148129, 0.137428
0.083967, 0.0105966, 0.01375, 0.134544
0.0951761, 0.0120116, 0.0111532, 0.12889
0.118094, 0.0135893, 0.0136476, 0.134381
0.0927626, 0.0137972, 0.0125217, 0.125543
0.113175, 0.016038, 0.012079, 0.114234
0.131112, 0.0143618, 0.0112896, 0.0977861
0.180352, 0.0176388, 0.0116874, 0.102059
0.132406, 0.0182666, 0.00924436, 0.0963914
0.14494, 0.0165929, 0.00998854, 0.0871548
0.146483, 0.019217, 0.0091367, 0.0728842
0.182142, 0.0196509, 0.00711338, 0.102342
0.171325, 0.0183368, 0.00780977, 0.0906879
0.160079, 0.0182652, 0.00911393, 0.084062
0.188678, 0.0188635, 0.00887248, 0.104831
0.196811, 0.0175826, 0.0102613, 0.0947931
0.220614, 0.022961, 0.0115735, 0.101736
0.206443, 0.0203602, 0.0135293, 0.0868219
0.184215, 0.023144, 0.0116353, 0.100249
0.20805, 0.0206392, 0.0111545, 0.125889
0.184217, 0.0212879, 0.0119999, 0.123649
0.16231, 0.0214917, 0.0107221, 0.114911
0.163646, 0.0185412, 0.0112787, 0.107792
0.180513, 0.0198923, 0.0123278, 0.109105
0.168248, 0.0177404, 0.00911288, 0.107664
0.14103, 0.0177487, 0.0126419, 0.115654
0.153634, 0.0204503, 0.0109251, 0.108754
0.157992, 0.0189616, 0.0113603, 0.0939571
0.142948, 0.0164856, 0.010559, 0.101934
0.143287, 0.0156416, 0.0112799, 0.113398
0.133368, 0.0175991, 0.0147399, 0.109815
0.124936, 0.0158888, 0.0113229, 0.0964412
0.128285, 0.0181259, 0.0110511, 0.11585
